title,description,price,category,subcategory,image_url,url
Iwash Detergent Powder-500g,500g,Rs. 140.00,Cleaning Household,Laundry Detergents,https://em-cdn.eatmubarak.pk/55545/gallery/8964003424107.jpg,
Softlan Fabric Softener Lavender Pouch-1 Ltr,1 Ltr,Rs. 450.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950018300.jpg,
Breeo Premium Detergent Washing Powder-1 Kg,1 Kg,Rs. 525.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8964002384907.jpg,
Ariel Original Detergent Promo Pack-1 Kg,1 Kg,Rs. 580.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8700216736718.jpg,
Bonus Tristar Washing Powder-3 Kg,3 Kg,Rs. 650.00,Cleaning Household,Laundry Detergents,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/8886950013343-1684411508056.jpg,
Ariel Original Detergent Powder-500g,500g,Rs. 275.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8700216736817.jpg,
Ariel Original Detergent Powder-2Kg,2Kg,"Rs. 1,150.00",Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8700216451086.jpg,
Number 1 Tidy Detergent Washing Powder-500g,500g,Rs. 150.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/dish_image/1734429074.jpg,
New Robin Liquid Bleach-900ml,900ml,"Rs. 1,275.00",Cleaning Household,Laundry Detergents,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/6001106309831-1684408992968.jpg,
Robin Bleach Lemon Multi Purpose Cleaner-900ml,900ml,"Rs. 1,275.00",Cleaning Household,Laundry Detergents,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/8964002686100-1684410373379.jpg,
Vanish Oxi Action Detergent-470g,470g,"Rs. 1,475.00",Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/5011417570418.jpg,
Express Power Detergent Powder-2 Kg,2 Kg,Rs. 775.00,Cleaning Household,Laundry Detergents,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/8886950012230-1684411507272.jpg,
Kick Whitner Bleach Liquid With Extra Shine-1 Ltr,1 Ltr,Rs. 520.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/05425572532245.jpg,
Ariel Downy Detergent Powder-1 Kg,1 Kg,Rs. 580.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8700216736787.jpg,
Woolite Dark Fabrics & Denim Detergent-750ml,750ml,"Rs. 2,899.00",Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/5011417550106.jpg,
Ariel Downy Detergent Powder Promo Pack-2 Kg,2 Kg,"Rs. 1,150.00",Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8700216451291.jpg,
Comfort Fabric Softener Red-500ml,500ml,Rs. 270.00,Cleaning Household,Laundry Detergents,https://em-cdn.eatmubarak.pk/55545/gallery/8851932288071.jpg,
Comfort Fabric Softener Pink-500ml,500ml,Rs. 270.00,Cleaning Household,Laundry Detergents,https://em-cdn.eatmubarak.pk/55545/gallery/8851932188005.jpg,
Comfort Fabric Softener Blue-500ml,500ml,Rs. 270.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Iwash Detergent Powder-1 Kg,1 Kg,Rs. 270.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Vista Premium Detergent Colour Guard-500g,500g,Rs. 260.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Vista Premium Detergent Colour Guard-2 Kg,2 Kg,Rs. 999.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Vista Premium Detergent Colour Guard-1 Kg,1 Kg,Rs. 520.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Iwash Detergent Powder-5 Kg,5 Kg,"Rs. 1,250.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bonus Detergent Powder Active-1 Kg,1 Kg,Rs. 300.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bonus Active Detergent Powder-500g,500g,Rs. 150.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Ariel Original Washing Powder-30g,30g,Rs. 20.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Sufi Ujala Soap-800g,800g,Rs. 330.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Ariel Original Washing Powder-6 Kg,6 Kg,"Rs. 3,370.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Dr. Beckmann Stain Remover Brush-250ml,250ml,Rs. 799.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Brite Anti Bacterial Detergent-1 Kg,1 Kg,Rs. 620.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950020037.jpg,
Sunlight 2-in-1 Lemon Fresh Detergent-1 Kg,1 Kg,Rs. 270.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8961014265248.jpg,
Surf Excel Expert White Detergent-500g,500g,Rs. 300.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8961014266511.jpg,
Surf Excel Expert White Detergent-1 Kg,1 Kg,Rs. 600.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8961014266528.jpg,
Sunlight 2-in-1 Jasmine Fresh Detergent-760g,760g,Rs. 199.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8961014265316.jpg,
Sunlight 2-in-1 Lemon Fresh Washing Powder-760g,760g,Rs. 199.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8961014265323.jpg,
Brite Maximum Power Detergent-40g,40g,Rs. 20.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950015002.jpg,
Bonus Tristar Detergent Powder-220g,220g,Rs. 50.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950013961.jpg,
Bonus Tristar Detergent-2 Kg,2 Kg,Rs. 440.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950013923.jpg,
Brite Maximum Detergent Powder-1 Kg,1 Kg,Rs. 530.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950015262.jpg,
Kiwi Kleen Bleach Lavender-500ml,500ml,Rs. 399.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/721688860693.jpg,
Bonus Tristar Detergent Powder-1 Kg,1 Kg,Rs. 230.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950013992.jpg,
Sunlight 2-in-1 Jasmine Fresh Detergent-2 Kg,2 Kg,Rs. 500.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8961014265255.jpg,
Surf Excel Detergent Powder-2 Kg,2 Kg,Rs. 999.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bonus Tristar Detergent-5 Kg,5 Kg,"Rs. 1,150.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
BreeO Premium Detergent Powder-2 Kg,2 Kg,Rs. 999.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
BreeO Premium Detergent Powder-500g,500g,Rs. 265.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Brite Maximum Power Washing Powder-500g,500g,Rs. 265.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Happy Oxi Bleach Colour Bleach-945ml,945ml,Rs. 999.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Hero All In One Cleaning Detergent-2.4 Kg,2.4 Kg,Rs. 499.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Sunlight 2-in-1 Jasmine Fresh Washing Powder-4 Kg,4 Kg,Rs. 999.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Sunlight 2-in-1 Lemon Fresh Washing Powder-2 Kg,2 Kg,Rs. 500.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Sunlight 2-in-1 Lemon Fresh Washing Powder-4 Kg,4 Kg,Rs. 999.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel Deep Action Detergent Powder-4.5 Kg,4.5 Kg,"Rs. 2,450.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel Detergent Powder-1 Kg,1 Kg,Rs. 530.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel With Deep Action Detergent Powder-35g,35g,Rs. 20.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Fairy Platinum Quick Wash Original-820ml,820ml,"Rs. 1,050.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Tide Original Fast Action Detergent-2.5 Kg,2.5 Kg,"Rs. 2,599.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel With Deep Action Detergent Powder-3 Kg,3 Kg,"Rs. 1,630.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel With Deep Action Detergent Powder-95g,95g,Rs. 50.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel With Deep Action Detergent Powder-500g,500g,Rs. 290.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel Liquid Detergent Bottle-500ml,500ml,Rs. 420.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Sunlight 2-in-1 Clean & Jasmine Fresh Detergent-4 Kg,4 Kg,Rs. 999.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bonus Tristar Detergent Powder-485g,485g,Rs. 99.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Number 1 Washing Powder-1 Kg,1 Kg,Rs. 220.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Comfort After Wash Fabric Conditioner Morning Fresh-200ml,200ml,Rs. 250.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Comfort After Wash Fabric Conditioner Lily Fresh-200ml,200ml,Rs. 250.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Sufi Super Detergent Powder-3 Kg,3 Kg,"Rs. 1,630.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Vanish Color Safe Oxi Action Stain Remover Powder-470g,470g,"Rs. 1,475.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Ariel All-in-1 Pods Cool Clean Original Washing Liquid Capsules-378g,378g,"Rs. 1,999.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Brite Maximum Power Detergent Powder-40g,40g,Rs. 20.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rin Detergent Washing Powder-500g,500g,Rs. 199.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Wipes Quick Easy Iron Starch Spray-567g,567g,Rs. 399.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Spontex Floor Scrubber With Handle,,"Rs. 1,899.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Ariel Downy Detergent Powder-4 Kg,4 Kg,"Rs. 2,235.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Ariel Original Detergent Powder-4 Kg,4 Kg,"Rs. 2,235.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel Liquid Detergent Refill Pack-1 Ltr,1 Ltr,Rs. 699.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Ariel Original Detergent Powder-3 Kg,3 Kg,"Rs. 1,690.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Stiff On Heavy Spray Starch-567g,567g,Rs. 415.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Ariel Downy Detergent Powder-3 Kg,3 Kg,"Rs. 1,690.00",Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Spontex Stainless Steel Scourers-6 Pcs,6 Pcs,Rs. 385.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Iwash Detergent Powder-3 Kg,3 Kg,Rs. 780.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Ariel Downy Washing Powder 20% Extra-96g,96g,Rs. 50.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel Detergent Special Offer Save Rs.25-500g,500g,Rs. 265.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel Liquid Detergent Bottle-1 Ltr,1 Ltr,Rs. 799.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Surf Excel With Deep Action Detergent Powder-1 Kg,1 Kg,Rs. 580.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Sunlight 2-in-1 Jasmine Fresh Detergent-1 Kg,1 Kg,Rs. 270.00,Cleaning Household,Laundry Detergents,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Brite Maximum Power Detergent Powder-105g,105g,Rs. 50.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950016009.jpg,
Brite Maximum Power Detergent Powder-1 Kg,1 Kg,Rs. 549.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950018003.jpg,
Express Power Detergent Powder-1 Kg,1 Kg,Rs. 399.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950012537.jpg,
Express Power Detergent Powder-2 Kg,2 Kg,Rs. 775.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950012551.jpg,
Bonus Tristar Detergent Powder-2 Kg,2 Kg,Rs. 440.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950016016.jpg,
Brite Maximum Detergent Powder-2 Kg,2 Kg,"Rs. 1,045.00",Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950019000.jpg,
Express Power Detergent Bumper Value Pack-4.5 Kg,4.5 Kg,"Rs. 1,860.00",Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950012483.jpg,
Softlan Floral Fantasy-425ml,425ml,Rs. 160.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950018386.jpg,
Express Power Detergent Powder-1.5 Kg,1.5 Kg,Rs. 570.00,Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/8886950012544.jpg,
Faultless Heavy Finish Starch Spray-567g,567g,"Rs. 1,199.00",Cleaning Household,Laundry Detergents,https://g-cdn.blinkco.io/ordering-system/55545/gallery/017500207228.jpg,
Kitchencare Large Cling Wrap-150 Ft,150 Ft,Rs. 699.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/8966000069817.jpg,
Jazee Zipper Freezer Seal-35 Bags,35 Bags,Rs. 425.00,Cleaning Household,Foil Cling Film Paper,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/2569828456218-1684408966568.jpg,
Tid Eaz Ez Storage Disposable Storage Bags-50 Pcs,50 Pcs,Rs. 450.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/745110229469.jpg,
Tid Eaz Ez Wrap Cling Film 30m x 30cm-30 Meter,30 Meter,Rs. 525.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/745110229407.jpg,
Tid Eaz Butter Paper Pre Cut Sheets-24 Pcs,24 Pcs,Rs. 375.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/764460847949.jpg,
Tid Eaz Butter Paper Pre Cut Sheets-36 Pcs,36 Pcs,Rs. 375.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/764460847956.jpg,
Jazee Butter Paper Sheets Medium 24 x 24cm-48 Sheets,48 Sheets,Rs. 335.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/1425879987655.jpg,
Nature Food Edible Silver Leaf (Chandi Work)-10 Pcs,10 Pcs,Rs. 150.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/G10116877.jpg,
My Wrap Cling Film-30cm,30cm,Rs. 345.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/792625892596.jpg,
Jazee Zipper Freezer Seal Bags Large-20 Bags,20 Bags,Rs. 425.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/2569878459962.jpg,
Jazee Zipper Seal Freezer & Storage-25 Bags,25 Bags,Rs. 425.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/9234567891332.jpg,
Mepro Cling Wrap-100 Sq.Ft,100 Sq.Ft,Rs. 285.00,Cleaning Household,Foil Cling Film Paper,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/7926258925892-1684409220208.jpg,
Falcon Aluminium Foil 7.74m x 45cm-37.5 Sq.Ft,37.5 Sq.Ft,Rs. 699.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/6291055000037.jpg,
Falcon Cling Film 20.64m x 45cm-100 Sq.Ft,100 Sq.Ft,Rs. 550.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/6291055047001.jpg,
Falcon High Quality Baking Paper 10m x 30cm,30cm,Rs. 550.00,Cleaning Household,Foil Cling Film Paper,https://em-cdn.eatmubarak.pk/55545/gallery/6291055006152.jpg,
Fajar Easy Cling Wrap-100 Sq.Ft,100 Sq.Ft,Rs. 345.00,Cleaning Household,Foil Cling Film Paper,https://g-cdn.blinkco.io/ordering-system/55545/gallery/9232100535620.jpg,
Falcon Cling Film 30.96m X 30cm-100 Sq.Ft,100 Sq.Ft,Rs. 535.00,Cleaning Household,Foil Cling Film Paper,https://g-cdn.blinkco.io/ordering-system/55545/gallery/6291055002314.jpg,
My Wrap Cling Film Pvc Food Film-30cm,30cm,Rs. 635.00,Cleaning Household,Foil Cling Film Paper,https://g-cdn.blinkco.io/ordering-system/55545/gallery/792625892749.jpg,
My Wrap Artistic Straw Pouch,,Rs. 185.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Tid Eaz Ez Aluminum Foil 30Cm x 10M,,Rs. 999.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Diamond Ultra Strong Cling Wrap-250 Ft,250 Ft,"Rs. 1,550.00",Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Jazee Sufra Dastarkhwan Plastic Sheet 40x30 -16 Pcs,16 Pcs,Rs. 455.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Jazee Butter Paper Sheet-36 Sheets,36 Sheets,Rs. 335.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Mepro Cling Film Pvc Food Film 30m x 45cm-150 Sq.Ft,150 Sq.Ft,Rs. 635.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"My Wrap Butter Paper Medium 9"" x 12""-36 Sheets",36 Sheets,Rs. 345.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Mepro Baking Paper-5 Meter,5 Meter,Rs. 345.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Mepro Wrap Aliminum Foil-3.5 Meter,3.5 Meter,Rs. 475.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Diamond Aluminum Foil-37.5 Sq.Ft,37.5 Sq.Ft,"Rs. 1,099.00",Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Diamond Cling Wrap-100 Sq.Ft,100 Sq.Ft,Rs. 835.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Diamond Aluminum Foil-25 Sq.Ft,25 Sq.Ft,Rs. 785.00,Cleaning Household,Foil Cling Film Paper,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Diamond Cling Wrap-300 Sq.Ft,300 Sq.Ft,"Rs. 1,850.00",Cleaning Household,Foil Cling Film Paper,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/010900035835-1684410767445.jpg,
Diamond Aluminum Foil-200 Sq.Ft,200 Sq.Ft,"Rs. 4,499.00",Cleaning Household,Foil Cling Film Paper,https://hypr-images.s3.amazonaws.com/images/rs/lahore/product/010900100861-1684410768993.jpg,
